cidade   ;actt;pibpc;ater;gurb;frvei;pop
Nova Tebas;3;6853;544,187;39,08;2058;7398
Novo Itacolomi;6;10445;160,585;56,17;1209;2827
Ortigueira;25;10594;2432,255;41,01;5587;23380
Ourizona;1;14637;175,42;90,06;1266;3380
Ouro Verde do Oeste;;13639;293,197;70,96;2008;5692
Paiçandu;138;6489;170,896;98,63;14015;35936
Palmas;364;11908;1576,621;92,79;13701;42888
Palmeira;42;17589;1457,262;60,32;12898;32123
Palmital;22;7176;817,281;49,77;4422;14865
Palotina;261;27850;647,284;85,93;16907;28683
Paraíso do Norte;68;9887;204,918;94,28;5024;11772
Paranacity;41;14081;348,17;92,38;3491;10250
Paranaguá;937;28961;806,225;96,38;44545;140469
Paranapoema;;11684;175,493;89,57;883;2791
Paranavaí;966;13504;1202,151;95,27;45808;81590
Pato Bragado;23;13717;136,781;62,07;2331;4822
Pato Branco;1164;21748;539,029;94,09;39625;72370
Paula Freitas;4;24502;429,013;50,57;2009;5434
Paulo Frontin;8;18733;367,284;31,43;2690;6913
Peabiru;19;9798;467,212;80,81;4765;13624
Perobal;;14564;415,792;54,48;1939;5653
Pérola;31;21283;235,643;79,06;5191;10208
Pérola d'Oeste;11;11550;206,693;47,14;2984;6761
Piên;44;36956;256,934;40,25;5960;11236
Pinhais;813;32773;61,137;100;56597;117008
Pinhal de São Bento;12;9805;98,15;44,42;857;2625
Pinhalão;20;11195;220,6;63,14;2017;6215
Pinhão;;24409;2001,783;50,71;7242;30208
Piraí do Sul;63;15154;1349,319;68,74;8030;23424
Piraquara;173;6776;225,223;49,07;25112;93207
Pitanga;59;10776;1665,901;63,09;12386;32638
Pitangueiras;4;15543;123,413;72,49;1064;2814
Planaltina do Paraná;3;10912;355,621;67,72;1607;4095
Planalto;54;11196;344,688;44,44;5526;13654
Ponta Grossa;3259;21497;2025,697;97,79;140331;311611
Pontal do Paraná;44;9387;202,159;99,15;4939;20920
Porecatu;51;24881;290,431;80,64;5606;14189
Porto Amazonas;4;14579;186,69;65,31;1279;4514
Porto Barreiro;;12406;365,181;18,86;1098;3663
Porto Rico;;10759;227,024;69,72;887;2530
